new_filename,page_journal,page_docx,number,url
Svoboda_AR129,129,12,11600,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11600/default.jpg
Svoboda_AR130,130,11,11602,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11602/default.jpg
Svoboda_AR131,131,10,11603,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11603/default.jpg
Svoboda_AR132,132,9,11604,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11604/default.jpg
Svoboda_AR133,133,8,11605,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11605/default.jpg
Svoboda_AR134,134,7,11606,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11606/default.jpg
Svoboda_AR135,135,6,11607,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11607/default.jpg
Svoboda_AR136,136,5,11608,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11608/default.jpg
Svoboda_AR137,137,4,11609,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11609/default.jpg
Svoboda_AR138,138,3,11610,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11610/default.jpg
